,Bacteria,NP_Synthesis,Drug,Drug_class_drug_bank,Drug_dose,NP_concentration,NP size_min,NP size_max,shape,method,ZOI_drug,ZOI_drug_NP,MDR_check
10,Neisseria mucosa,green_synthesis using Dioscorea bulbifera tuber extract ,Faropenem,Carboxylic acids and derivatives,500.0,30.0,8.0,20.0,nanorods and triangles,disc_diffusion,48.0,48.0,0
11,Neisseria mucosa,green_synthesis using Dioscorea bulbifera tuber extract ,Ceftriaxone,Lactams,500.0,30.0,8.0,20.0,nanorods and triangles,disc_diffusion,47.0,47.0,0
12,Neisseria mucosa,green_synthesis using Dioscorea bulbifera tuber extract ,Rifampicin,Macrolactams,500.0,30.0,8.0,20.0,nanorods and triangles,disc_diffusion,44.0,44.0,0
13,Neisseria mucosa,green_synthesis using Dioscorea bulbifera tuber extract ,Gentamicin,Aminoglycosides,500.0,30.0,8.0,20.0,nanorods and triangles,disc_diffusion,30.0,42.0,0
18,Neisseria mucosa,green_synthesis using Dioscorea bulbifera tuber extract ,Amoxicillin,Lactams,500.0,30.0,8.0,20.0,nanorods and triangles,disc_diffusion,40.0,40.0,0
19,Neisseria mucosa,green_synthesis using Dioscorea bulbifera tuber extract ,Piperacillin,Carboxylic acids and derivatives,500.0,30.0,8.0,20.0,nanorods and triangles,disc_diffusion,40.0,40.0,0
20,Bacillus subtilis,green_synthesis using Dioscorea bulbifera tuber extract ,Tetracycline,Tetracyclines,500.0,30.0,8.0,20.0,nanorods and triangles,disc_diffusion,30.0,39.0,0
23,Neisseria mucosa,green_synthesis using Dioscorea bulbifera tuber extract ,Tetracycline,Tetracyclines,500.0,30.0,8.0,20.0,nanorods and triangles,disc_diffusion,34.0,38.0,0
25,Bacillus subtilis,green_synthesis using Dioscorea bulbifera tuber extract ,Streptomycin,Organooxygen compounds,500.0,30.0,8.0,20.0,nanorods and triangles,disc_diffusion,26.0,37.0,0
26,Escherichia coli,green_synthesis by Klebsiella pneumoniae,Co-trimoxazole,Benzene and substituted derivatives; Phenol ethers,2.0,10.0,5.0,32.0,spherical,disc_diffusion,37.0,37.0,0
29,Salmonella typhimurium,green_synthesis  using fungus Trichoderma,Chloramphenicol,Benzene and substituted derivatives,10.0,10.0,5.0,40.0,spherical,disc_diffusion,29.0,36.0,0
30,Salmonella typhimurium,green_synthesis from fungus Trichoderma viride,Chloramphenicol,Benzene and substituted derivatives,10.0,33.77049180327869,5.0,40.0,spherical,disc_diffusion,29.0,36.0,0
31,Staphylococcus aureus,green_synthesis by Klebsiella pneumoniae,Co-trimoxazole,Benzene and substituted derivatives; Phenol ethers,2.0,10.0,5.0,32.0,spherical,disc_diffusion,36.0,36.0,0
33,Klebsiella pneumoniae,green_synthesis from fungus  Aspergillus flavus,ciprofloxacin,"
Quinolines and derivatives",10.0,100.0,5.0,30.0,spherical,disc_diffusion,22.0,35.0,0
36,Bacillus subtilis,green_synthesis using Dioscorea bulbifera tuber extract ,Ampicillin,Lactams,500.0,30.0,8.0,20.0,nanorods and triangles,disc_diffusion,20.0,34.0,0
37,Pseudomonas aeruginosa,green_synthesis from fungus  Phytophthora infestans,mupirocin,Fatty Acyls,360.88275862068963,33.77049180327869,5.0,80.0,spherical,disc_diffusion,22.0,34.0,0
38,Escherichia coli,green_synthesis from fungus  Phytophthora infestans,Neomycin,NC,360.88275862068963,33.77049180327869,5.0,80.0,spherical,disc_diffusion,25.0,34.0,0
40,Neisseria mucosa,green_synthesis using Dioscorea bulbifera tuber extract ,Doxycycline,Tetracyclines,500.0,30.0,8.0,20.0,nanorods and triangles,disc_diffusion,34.0,34.0,0
41,Bacillus subtilis,green_synthesis using Dioscorea bulbifera tuber extract ,Faropenem,Carboxylic acids and derivatives,500.0,30.0,8.0,20.0,nanorods and triangles,disc_diffusion,34.0,34.0,0
44,Escherichia coli,green_synthesis from fungus  Phytophthora infestans,Gentamicin,Aminoglycosides,360.88275862068963,33.77049180327869,5.0,80.0,spherical,disc_diffusion,21.0,32.0,0
45,Bacillus subtilis,green_synthesis using Dioscorea bulbifera tuber extract ,Chloramphenicol,Benzene and substituted derivatives,500.0,30.0,8.0,20.0,nanorods and triangles,disc_diffusion,24.0,32.0,0
46,Pseudomonas aeruginosa,green_synthesis using Dioscorea bulbifera tuber extract ,Streptomycin,Organooxygen compounds,500.0,30.0,8.0,20.0,nanorods and triangles,disc_diffusion,24.0,32.0,0
48,Staphylococcus aureus,green_synthesis from fungus  Phytophthora infestans,mupirocin,Fatty Acyls,360.88275862068963,33.77049180327869,5.0,80.0,spherical,disc_diffusion,31.0,32.0,0
49,Neisseria mucosa,green_synthesis using Dioscorea bulbifera tuber extract ,Ceftazidime,Lactams,500.0,30.0,8.0,20.0,nanorods and triangles,disc_diffusion,32.0,32.0,0
50,Neisseria mucosa,green_synthesis using Dioscorea bulbifera tuber extract ,Chloramphenicol,Benzene and substituted derivatives,500.0,30.0,8.0,20.0,nanorods and triangles,disc_diffusion,32.0,32.0,0
51,Escherichia coli,green_synthesis using extract of acinetobacter baumannii,Ceftazidime,Lactams,360.88275862068963,33.77049180327869,1.0,9.0,spherical,MIC,1000.0,32.0,1
52,Staphylococcus epidermidis,chem_synthesis by silver nitrate,Gentamicin,Aminoglycosides,360.88275862068963,33.77049180327869,20.0,40.0,spherical,MIC,250.0,31.25,1
53,Staphylococcus epidermidis,chem_synthesis by silver nitrate,Gentamicin,Aminoglycosides,360.88275862068963,33.77049180327869,20.0,40.0,spherical,MIC,500.0,31.25,1
54,Staphylococcus epidermidis,chem_synthesis by silver nitrate,Gentamicin,Aminoglycosides,360.88275862068963,33.77049180327869,20.0,40.0,spherical,MIC,500.0,31.25,1
55,Staphylococcus epidermidis,chem_synthesis by silver nitrate,Gentamicin,Aminoglycosides,360.88275862068963,33.77049180327869,20.0,40.0,spherical,MIC,500.0,31.25,1
56,Staphylococcus epidermidis,chem_synthesis by silver nitrate,Gentamicin,Aminoglycosides,360.88275862068963,33.77049180327869,20.0,40.0,spherical,MIC,500.0,31.25,1
57,Staphylococcus epidermidis,chem_synthesis by silver nitrate,Gentamicin,Aminoglycosides,360.88275862068963,33.77049180327869,20.0,40.0,spherical,MIC,500.0,31.25,1
58,Neisseria mucosa,green_synthesis using Dioscorea bulbifera tuber extract ,Nitrofurantoin,Azolidines,500.0,30.0,8.0,20.0,nanorods and triangles,disc_diffusion,8.0,31.0,0
59,Pseudomonas aeruginosa,green_synthesis from fungus  Phytophthora infestans,Gentamicin,Aminoglycosides,360.88275862068963,33.77049180327869,5.0,80.0,spherical,disc_diffusion,21.0,31.0,0
60,Staphylococcus aureus,green_synthesis from fungus  Phytophthora infestans,Vancomycin,Carboxylic acids and derivatives,360.88275862068963,33.77049180327869,5.0,80.0,spherical,disc_diffusion,21.0,31.0,0
61,Salmonella typhimurium,green_synthesis  using fungus Trichoderma,Erythromycin,Organooxygen compounds,10.0,10.0,5.0,40.0,spherical,disc_diffusion,24.0,31.0,0
62,Salmonella typhimurium,green_synthesis from fungus Trichoderma viride,Erythromycin,Organooxygen compounds,10.0,33.77049180327869,5.0,40.0,spherical,disc_diffusion,24.0,31.0,0
63,Pseudomonas aeruginosa,green_synthesis from fungus  Phytophthora infestans,cefazolin,Lactams,360.88275862068963,33.77049180327869,5.0,80.0,spherical,disc_diffusion,23.0,30.0,0
64,Pseudomonas aeruginosa,green_synthesis from fungus  Phytophthora infestans,Vancomycin,Carboxylic acids and derivatives,360.88275862068963,33.77049180327869,5.0,80.0,spherical,disc_diffusion,24.0,30.0,0
65,Neisseria mucosa,green_synthesis using Dioscorea bulbifera tuber extract ,Cefotaxime,Lactams,500.0,30.0,8.0,20.0,nanorods and triangles,disc_diffusion,30.0,30.0,0
66,Vibrio parahaemolyticus,green_synthesis using Dioscorea bulbifera tuber extract ,Faropenem,Carboxylic acids and derivatives,500.0,30.0,8.0,20.0,nanorods and triangles,disc_diffusion,30.0,30.0,0
67,Vibrio parahaemolyticus,green_synthesis using Dioscorea bulbifera tuber extract ,Gentamicin,Aminoglycosides,500.0,30.0,8.0,20.0,nanorods and triangles,disc_diffusion,30.0,30.0,0
68,Vibrio parahaemolyticus,green_synthesis using Dioscorea bulbifera tuber extract ,Streptomycin,Organooxygen compounds,500.0,30.0,8.0,20.0,nanorods and triangles,disc_diffusion,30.0,30.0,0
69,Staphylococcus aureus,green_synthesis from fungus  Phytophthora infestans,cefazolin,Lactams,360.88275862068963,33.77049180327869,5.0,80.0,spherical,disc_diffusion,25.0,29.0,0
70,Staphylococcus aureus,green_synthesis from fungus  Aspergillus flavus,ciprofloxacin,"
Quinolines and derivatives",10.0,100.0,5.0,30.0,spherical,disc_diffusion,28.0,29.0,0
71,Escherichia coli,green_synthesis using Dioscorea bulbifera tuber extract ,Ampicillin,Lactams,500.0,30.0,8.0,20.0,nanorods and triangles,disc_diffusion,29.0,29.0,0
72,Staphylococcus aureus,green_synthesis by Klebsiella pneumoniae,Cefixime ,Lactams,5.0,10.0,5.0,32.0,spherical,disc_diffusion,29.0,29.0,0
75,Staphylococcus aureus,green_synthesis from fungus  Phytophthora infestans,Tetracycline,Tetracyclines,360.88275862068963,33.77049180327869,5.0,80.0,spherical,disc_diffusion,18.0,28.0,0
77,Escherichia coli,green_synthesis  using fungus Trichoderma,Chloramphenicol,Benzene and substituted derivatives,10.0,10.0,5.0,40.0,spherical,disc_diffusion,22.0,28.0,0
78,Escherichia coli,green_synthesis from fungus Trichoderma viride,Chloramphenicol,Benzene and substituted derivatives,10.0,33.77049180327869,5.0,40.0,spherical,disc_diffusion,22.0,28.0,0
79,Escherichia coli,green_synthesis from fungus  Phytophthora infestans,cefazolin,Lactams,360.88275862068963,33.77049180327869,5.0,80.0,spherical,disc_diffusion,22.0,28.0,0
81,Vibrio parahaemolyticus,green_synthesis using Dioscorea bulbifera tuber extract ,Doxycycline,Tetracyclines,500.0,30.0,8.0,20.0,nanorods and triangles,disc_diffusion,28.0,28.0,0
82,Neisseria mucosa,green_synthesis using Dioscorea bulbifera tuber extract ,Streptomycin,Organooxygen compounds,500.0,30.0,8.0,20.0,nanorods and triangles,disc_diffusion,28.0,28.0,0
83,Staphylococcus aureus,green_synthesis by Klebsiella pneumoniae,Carbenicillin ,Carboxylic acids and derivatives,100.0,10.0,5.0,32.0,spherical,disc_diffusion,28.0,28.0,0
84,Escherichia coli,green_synthesis by Klebsiella pneumoniae,Cefixime ,Lactams,5.0,10.0,5.0,32.0,spherical,disc_diffusion,28.0,28.0,0
86,Salmonella typhimurium,green_synthesis using Dioscorea bulbifera tuber extract ,Ampicillin,Lactams,500.0,30.0,8.0,20.0,nanorods and triangles,disc_diffusion,20.0,27.0,0
87,Pseudomonas aeruginosa,green_synthesis from fungus  Phytophthora infestans,Tetracycline,Tetracyclines,360.88275862068963,33.77049180327869,5.0,80.0,spherical,disc_diffusion,20.0,27.0,0
88,Staphylococcus aureus,green_synthesis from fungus  Phytophthora infestans,Neomycin,NC,360.88275862068963,33.77049180327869,5.0,80.0,spherical,disc_diffusion,20.0,27.0,0
89,Neisseria mucosa,green_synthesis using Dioscorea bulbifera tuber extract ,Erythromycin,Organooxygen compounds,500.0,30.0,8.0,20.0,nanorods and triangles,disc_diffusion,25.0,27.0,0
90,Serratia odorifera,green_synthesis using Dioscorea bulbifera tuber extract ,Ampicillin,Lactams,500.0,30.0,8.0,20.0,nanorods and triangles,disc_diffusion,27.0,27.0,0
91,Pseudomonas aeruginosa,green_synthesis using Dioscorea bulbifera tuber extract ,Gentamicin,Aminoglycosides,500.0,30.0,8.0,20.0,nanorods and triangles,disc_diffusion,27.0,27.0,0
92,Escherichia coli,green_synthesis using Dioscorea bulbifera tuber extract ,Tetracycline,Tetracyclines,500.0,30.0,8.0,20.0,nanorods and triangles,disc_diffusion,27.0,27.0,0
93,Escherichia coli,green_synthesis by Klebsiella pneumoniae,Amikacin,"
Organooxygen compounds",30.0,10.0,5.0,32.0,spherical,disc_diffusion,27.0,27.0,0
94,Neisseria mucosa,green_synthesis using Dioscorea bulbifera tuber extract ,Amikacin,"
Organooxygen compounds",500.0,30.0,8.0,20.0,nanorods and triangles,disc_diffusion,20.0,26.0,0
95,Staphylococcus aureus,green_synthesis from fungus  Phytophthora infestans,Gentamicin,Aminoglycosides,360.88275862068963,33.77049180327869,5.0,80.0,spherical,disc_diffusion,23.0,26.0,0
96,Neisseria mucosa,green_synthesis using Dioscorea bulbifera tuber extract ,Trimethoprim,Phenol ethers,500.0,30.0,8.0,20.0,nanorods and triangles,disc_diffusion,25.0,26.0,0
97,Escherichia coli,green_synthesis using Dioscorea bulbifera tuber extract ,Chloramphenicol,Benzene and substituted derivatives,500.0,30.0,8.0,20.0,nanorods and triangles,disc_diffusion,26.0,26.0,0
98,Serratia odorifera,green_synthesis using Dioscorea bulbifera tuber extract ,Gentamicin,Aminoglycosides,500.0,30.0,8.0,20.0,nanorods and triangles,disc_diffusion,26.0,26.0,0
99,Neisseria mucosa,green_synthesis using Dioscorea bulbifera tuber extract ,Kanamycin,Organooxygen compounds,500.0,30.0,8.0,20.0,nanorods and triangles,disc_diffusion,26.0,26.0,0
100,Serratia odorifera,green_synthesis using Dioscorea bulbifera tuber extract ,Kanamycin,Organooxygen compounds,500.0,30.0,8.0,20.0,nanorods and triangles,disc_diffusion,26.0,26.0,0
101,Pseudomonas aeruginosa,green_synthesis using Dioscorea bulbifera tuber extract ,Piperacillin,Carboxylic acids and derivatives,500.0,30.0,8.0,20.0,nanorods and triangles,disc_diffusion,26.0,26.0,0
102,Escherichia coli,green_synthesis by Klebsiella pneumoniae,Carbenicillin ,Carboxylic acids and derivatives,100.0,10.0,5.0,32.0,spherical,disc_diffusion,26.0,26.0,0
104,Escherichia coli,green_synthesis using Dioscorea bulbifera tuber extract ,Streptomycin,Organooxygen compounds,500.0,30.0,8.0,20.0,nanorods and triangles,disc_diffusion,7.0,25.0,0
105,Salmonella typhimurium,green_synthesis  by Bacillus sp.,Levofloxacin,"
Quinolines and derivatives",5.0,10.0,14.0,42.0,spherical,disc_diffusion,20.0,25.0,0
107,Klebsiella pneumoniae,green_synthesis from fungus  Aspergillus flavus,Gentamicin,Aminoglycosides,10.0,100.0,5.0,30.0,spherical,disc_diffusion,22.0,25.0,0
108,Pseudomonas koreensis,green_synthesis using Dioscorea bulbifera tuber extract ,Chloramphenicol,Benzene and substituted derivatives,500.0,30.0,8.0,20.0,nanorods and triangles,disc_diffusion,23.0,25.0,0
109,Staphylococcus aureus,green_synthesis from fungus  Aspergillus flavus,Imipenem,Lactams,360.88275862068963,100.0,5.0,30.0,spherical,disc_diffusion,23.0,25.0,0
110,Serratia odorifera,green_synthesis using Dioscorea bulbifera tuber extract ,Ceftazidime,Lactams,500.0,30.0,8.0,20.0,nanorods and triangles,disc_diffusion,24.0,25.0,0
111,Bacillus subtilis,green_synthesis using Dioscorea bulbifera tuber extract ,Vancomycin,Carboxylic acids and derivatives,500.0,30.0,8.0,20.0,nanorods and triangles,disc_diffusion,24.0,25.0,0
112,Neisseria mucosa,green_synthesis using Dioscorea bulbifera tuber extract ,Vancomycin,Carboxylic acids and derivatives,500.0,30.0,8.0,20.0,nanorods and triangles,disc_diffusion,24.0,25.0,0
113,Serratia odorifera,green_synthesis using Dioscorea bulbifera tuber extract ,Cefotaxime,Lactams,500.0,30.0,8.0,20.0,nanorods and triangles,disc_diffusion,25.0,25.0,0
114,Haemophilus influenzae,green_synthesis using Dioscorea bulbifera tuber extract ,Faropenem,Carboxylic acids and derivatives,500.0,30.0,8.0,20.0,nanorods and triangles,disc_diffusion,25.0,25.0,0
115,Serratia odorifera,green_synthesis using Dioscorea bulbifera tuber extract ,Faropenem,Carboxylic acids and derivatives,500.0,30.0,8.0,20.0,nanorods and triangles,disc_diffusion,25.0,25.0,0
116,Haemophilus influenzae,green_synthesis using Dioscorea bulbifera tuber extract ,Tetracycline,Tetracyclines,500.0,30.0,8.0,20.0,nanorods and triangles,disc_diffusion,25.0,25.0,0
117,Staphylococcus aureus,green_synthesis using Dioscorea bulbifera tuber extract ,Tetracycline,Tetracyclines,500.0,30.0,8.0,20.0,nanorods and triangles,disc_diffusion,25.0,25.0,0
118,Vibrio parahaemolyticus,green_synthesis using Dioscorea bulbifera tuber extract ,Tetracycline,Tetracyclines,500.0,30.0,8.0,20.0,nanorods and triangles,disc_diffusion,25.0,25.0,0
119,Staphylococcus aureus,green_synthesis by Klebsiella pneumoniae,Nitrofurantoin,Azolidines,300.0,10.0,5.0,32.0,spherical,disc_diffusion,25.0,25.0,0
120,Escherichia coli,green_synthesis by Klebsiella pneumoniae,Nalidixic acid,"
Diazanaphthalenes",30.0,10.0,5.0,32.0,spherical,disc_diffusion,25.0,25.0,0
121,Staphylococcus aureus,green_synthesis by Klebsiella pneumoniae,Nalidixic acid,"
Diazanaphthalenes",30.0,10.0,5.0,32.0,spherical,disc_diffusion,25.0,25.0,0
122,Escherichia coli,green_synthesis by Klebsiella pneumoniae,Tetracycline,Tetracyclines,25.0,10.0,5.0,32.0,spherical,disc_diffusion,25.0,25.0,0
123,Staphylococcus aureus,green_synthesis by Klebsiella pneumoniae,Tetracycline,Tetracyclines,25.0,10.0,5.0,32.0,spherical,disc_diffusion,25.0,25.0,0
124,Staphylococcus aureus,green_synthesis by Klebsiella pneumoniae,Gentamicin,Aminoglycosides,10.0,10.0,5.0,32.0,spherical,disc_diffusion,25.0,25.0,0
125,Staphylococcus epidermidis,green_synthesis  by Bacillus sp.,Fusidic acid ,"
Steroids and steroid derivatives",30.0,10.0,14.0,42.0,spherical,disc_diffusion,25.0,25.0,0
129,Escherichia coli,green_synthesis from fungus  Phytophthora infestans,mupirocin,Fatty Acyls,360.88275862068963,33.77049180327869,5.0,80.0,spherical,disc_diffusion,0.0,24.0,1
130,Salmonella typhimurium,green_synthesis using Dioscorea bulbifera tuber extract ,Penicillin,Carboxylic acids and derivatives,500.0,30.0,8.0,20.0,nanorods and triangles,disc_diffusion,18.0,24.0,0
132,Klebsiella pneumoniae,green_synthesis from fungus  Aspergillus flavus,Imipenem,Lactams,360.88275862068963,100.0,5.0,30.0,spherical,disc_diffusion,21.0,24.0,0
134,Salmonella typhimurium,green_synthesis using Dioscorea bulbifera tuber extract ,Chloramphenicol,Benzene and substituted derivatives,500.0,30.0,8.0,20.0,nanorods and triangles,disc_diffusion,22.0,24.0,0
135,Pseudomonas koreensis,green_synthesis using Dioscorea bulbifera tuber extract ,Tetracycline,Tetracyclines,500.0,30.0,8.0,20.0,nanorods and triangles,disc_diffusion,22.0,24.0,0
136,Vibrio parahaemolyticus,green_synthesis using Dioscorea bulbifera tuber extract ,Amikacin,"
Organooxygen compounds",500.0,30.0,8.0,20.0,nanorods and triangles,disc_diffusion,24.0,24.0,0
137,Serratia odorifera,green_synthesis using Dioscorea bulbifera tuber extract ,Ceftriaxone,Lactams,500.0,30.0,8.0,20.0,nanorods and triangles,disc_diffusion,24.0,24.0,0
138,Haemophilus influenzae,green_synthesis using Dioscorea bulbifera tuber extract ,Doxycycline,Tetracyclines,500.0,30.0,8.0,20.0,nanorods and triangles,disc_diffusion,24.0,24.0,0
139,Serratia odorifera,green_synthesis using Dioscorea bulbifera tuber extract ,Piperacillin,Carboxylic acids and derivatives,500.0,30.0,8.0,20.0,nanorods and triangles,disc_diffusion,24.0,24.0,0
140,Haemophilus influenzae,green_synthesis using Dioscorea bulbifera tuber extract ,Streptomycin,Organooxygen compounds,500.0,30.0,8.0,20.0,nanorods and triangles,disc_diffusion,24.0,24.0,0
141,Escherichia coli,green_synthesis by Klebsiella pneumoniae,Gentamicin,Aminoglycosides,10.0,10.0,5.0,32.0,spherical,disc_diffusion,24.0,24.0,0
142,Pseudomonas koreensis,green_synthesis using Dioscorea bulbifera tuber extract ,Faropenem,Carboxylic acids and derivatives,500.0,30.0,8.0,20.0,nanorods and triangles,disc_diffusion,22.0,23.0,0
143,Vibrio parahaemolyticus,green_synthesis using Dioscorea bulbifera tuber extract ,Kanamycin,Organooxygen compounds,500.0,30.0,8.0,20.0,nanorods and triangles,disc_diffusion,22.0,23.0,0
144,Staphylococcus epidermidis,green_synthesis  by Bacillus sp.,Ciprofloxacin,"
Quinolines and derivatives",30.0,10.0,14.0,42.0,spherical,disc_diffusion,22.0,23.0,0
145,Acinetobacter baumannii,green_synthesis using Dioscorea bulbifera tuber extract ,Amikacin,"
Organooxygen compounds",500.0,30.0,8.0,20.0,nanorods and triangles,disc_diffusion,23.0,23.0,0
146,Haemophilus influenzae,green_synthesis using Dioscorea bulbifera tuber extract ,Amikacin,"
Organooxygen compounds",500.0,30.0,8.0,20.0,nanorods and triangles,disc_diffusion,23.0,23.0,0
147,Enterobacter cloacae,green_synthesis using Dioscorea bulbifera tuber extract ,Cefotaxime,Lactams,500.0,30.0,8.0,20.0,nanorods and triangles,disc_diffusion,23.0,23.0,0
148,Haemophilus influenzae,green_synthesis using Dioscorea bulbifera tuber extract ,Gentamicin,Aminoglycosides,500.0,30.0,8.0,20.0,nanorods and triangles,disc_diffusion,23.0,23.0,0
149,Bacillus subtilis,green_synthesis using Dioscorea bulbifera tuber extract ,Kanamycin,Organooxygen compounds,500.0,30.0,8.0,20.0,nanorods and triangles,disc_diffusion,23.0,23.0,0
150,Enterobacter cloacae,green_synthesis using Dioscorea bulbifera tuber extract ,Streptomycin,Organooxygen compounds,500.0,30.0,8.0,20.0,nanorods and triangles,disc_diffusion,23.0,23.0,0
151,Pseudomonas koreensis,green_synthesis using Dioscorea bulbifera tuber extract ,Streptomycin,Organooxygen compounds,500.0,30.0,8.0,20.0,nanorods and triangles,disc_diffusion,23.0,23.0,0
152,Serratia odorifera,green_synthesis using Dioscorea bulbifera tuber extract ,Streptomycin,Organooxygen compounds,500.0,30.0,8.0,20.0,nanorods and triangles,disc_diffusion,23.0,23.0,0
153,Haemophilus influenzae,green_synthesis using Dioscorea bulbifera tuber extract ,Vancomycin,Carboxylic acids and derivatives,500.0,30.0,8.0,20.0,nanorods and triangles,disc_diffusion,23.0,23.0,0
154,Vibrio parahaemolyticus,green_synthesis using Dioscorea bulbifera tuber extract ,Vancomycin,Carboxylic acids and derivatives,500.0,30.0,8.0,20.0,nanorods and triangles,disc_diffusion,23.0,23.0,0
155,Escherichia coli,green_synthesis by Klebsiella pneumoniae,Nitrofurantoin,Azolidines,300.0,10.0,5.0,32.0,spherical,disc_diffusion,23.0,23.0,0
156,Staphylococcus aureus,green_synthesis by Klebsiella pneumoniae,Amikacin,"
Organooxygen compounds",30.0,10.0,5.0,32.0,spherical,disc_diffusion,23.0,23.0,0
159,Pseudomonas aeruginosa,green_synthesis using Dioscorea bulbifera tuber extract ,Amikacin,"
Organooxygen compounds",500.0,30.0,8.0,20.0,nanorods and triangles,disc_diffusion,14.0,22.0,0
160,Salmonella typhimurium,green_synthesis using Dioscorea bulbifera tuber extract ,Vancomycin,Carboxylic acids and derivatives,500.0,30.0,8.0,20.0,nanorods and triangles,disc_diffusion,18.0,22.0,0
161,Pseudomonas koreensis,green_synthesis using Dioscorea bulbifera tuber extract ,Gentamicin,Aminoglycosides,500.0,30.0,8.0,20.0,nanorods and triangles,disc_diffusion,20.0,22.0,0
162,Pseudomonas koreensis,green_synthesis using Dioscorea bulbifera tuber extract ,Kanamycin,Organooxygen compounds,500.0,30.0,8.0,20.0,nanorods and triangles,disc_diffusion,20.0,22.0,0
163,Escherichia coli,green_synthesis from fungus  Aspergillus flavus,Imipenem,Lactams,360.88275862068963,100.0,5.0,30.0,spherical,disc_diffusion,20.0,22.0,0
164,Escherichia coli,green_synthesis from fungus  Phytophthora infestans,Tetracycline,Tetracyclines,360.88275862068963,33.77049180327869,5.0,80.0,spherical,disc_diffusion,20.0,22.0,0
165,Enterococcus faecalis,green_synthesis using extract of Klebsiella pneumoniae,Gentamicin,Aminoglycosides,10.0,10.0,20.0,20.0,spherical,disc_diffusion,20.0,22.0,0
166,Serratia odorifera,green_synthesis using Dioscorea bulbifera tuber extract ,Tetracycline,Tetracyclines,500.0,30.0,8.0,20.0,nanorods and triangles,disc_diffusion,21.0,22.0,0
168,Enterobacter cloacae,green_synthesis using Dioscorea bulbifera tuber extract ,Chloramphenicol,Benzene and substituted derivatives,500.0,30.0,8.0,20.0,nanorods and triangles,disc_diffusion,22.0,22.0,0
169,Serratia odorifera,green_synthesis using Dioscorea bulbifera tuber extract ,Chloramphenicol,Benzene and substituted derivatives,500.0,30.0,8.0,20.0,nanorods and triangles,disc_diffusion,22.0,22.0,0
170,Haemophilus influenzae,green_synthesis using Dioscorea bulbifera tuber extract ,Kanamycin,Organooxygen compounds,500.0,30.0,8.0,20.0,nanorods and triangles,disc_diffusion,22.0,22.0,0
171,Klebsiella pneumoniae,green_synthesis using Dioscorea bulbifera tuber extract ,Streptomycin,Organooxygen compounds,500.0,30.0,8.0,20.0,nanorods and triangles,disc_diffusion,22.0,22.0,0
172,Klebsiella pneumoniae,green_synthesis using C. zylinicum aqueous extracts,Gentamicin,Aminoglycosides,20.0,20.0,10.0,78.9,spherical,well_diffusion,20.7,21.5,0
173,Escherichia coli,green_synthesis  using fungus Trichoderma,Ampicillin,Lactams,10.0,10.0,5.0,40.0,spherical,disc_diffusion,12.0,21.0,0
174,Escherichia coli,green_synthesis from fungus Trichoderma viride,Ampicillin,Lactams,10.0,33.77049180327869,5.0,40.0,spherical,disc_diffusion,12.0,21.0,0
175,Staphylococcus aureus,green_synthesis from fungus  Aspergillus flavus,Gentamicin,Aminoglycosides,10.0,100.0,5.0,30.0,spherical,disc_diffusion,15.0,21.0,0
176,Escherichia coli,green_synthesis from fungus  Phytophthora infestans,Vancomycin,Carboxylic acids and derivatives,360.88275862068963,33.77049180327869,5.0,80.0,spherical,disc_diffusion,18.0,21.0,0
